# ArraySize TwoWayMergeSortSteps ThreeWayMergeSortSteps
440 3888 2447
441 3898 2466
442 3908 2469
443 3918 2480
444 3928 2475
445 3938 2486
446 3948 2481
447 3958 2508
448 3968 2503
449 3978 2514
450 3988 2493
451 3998 2504
452 4008 2507
453 4018 2526
454 4028 2529
455 4038 2548
456 4048 2535
457 4058 2554
458 4068 2557
459 4078 2592
460 4088 2595
461 4098 2602
462 4108 2601
463 4118 2608
464 4128 2607
465 4138 2622
466 4148 2621
467 4158 2628
468 4168 2619
469 4178 2626
470 4188 2625
471 4198 2640
472 4208 2639
473 4218 2654
474 4228 2637
475 4238 2652
476 4248 2651
477 4258 2682
478 4268 2681
479 4278 2688
480 4288 2679
481 4298 2686
482 4308 2677
483 4318 2700
484 4328 2691
485 4338 2698
486 4348 2673
487 4358 2680
488 4368 2687
489 4378 2694
490 4388 2701
491 4398 2708
492 4408 2715
493 4418 2722
494 4428 2729
495 4438 2736
496 4448 2743
497 4458 2750
498 4468 2757
499 4478 2764
500 4488 2771
501 4498 2778
502 4508 2785
503 4518 2792
504 4528 2799
505 4538 2806
506 4548 2813
507 4558 2820
508 4568 2827
509 4578 2834
510 4588 2841
511 4598 2848
512 4608 2855
513 4619 2862
514 4630 2869
515 4641 2876
516 4652 2883
517 4663 2890
518 4674 2897
519 4685 2904
520 4696 2911
521 4707 2918
522 4718 2925
523 4729 2932
524 4740 2939
525 4751 2946
526 4762 2953
527 4773 2960
528 4784 2967
529 4795 2974
530 4806 2981
531 4817 2988
532 4828 2995
533 4839 3002
534 4850 3009
535 4861 3016
536 4872 3023
537 4883 3030
538 4894 3037
539 4905 3044
540 4916 3051
541 4927 3058
542 4938 3065
543 4949 3072
544 4960 3079
545 4971 3086
546 4982 3093
547 4993 3100
548 5004 3107
549 5015 3114
550 5026 3121
551 5037 3128
552 5048 3135
553 5059 3142
554 5070 3149
555 5081 3156
556 5092 3163
557 5103 3170
558 5114 3177
559 5125 3184
560 5136 3191
561 5147 3198
562 5158 3205
563 5169 3212
564 5180 3219
565 5191 3226
566 5202 3233
567 5213 3240
568 5224 3247
569 5235 3254
570 5246 3261
571 5257 3268
572 5268 3275
573 5279 3282
574 5290 3289
575 5301 3296
576 5312 3303
577 5323 3310
578 5334 3317
579 5345 3324
580 5356 3331
581 5367 3338
582 5378 3345
583 5389 3352
584 5400 3359
585 5411 3366
586 5422 3373
587 5433 3380
588 5444 3387
589 5455 3394
590 5466 3401
591 5477 3408
592 5488 3415
593 5499 3422
594 5510 3429
595 5521 3436
596 5532 3443
597 5543 3450
598 5554 3457
599 5565 3464
600 5576 3471
601 5587 3478
602 5598 3485
603 5609 3492
604 5620 3499
605 5631 3506
606 5642 3513
607 5653 3520
608 5664 3527
609 5675 3534
610 5686 3541
611 5697 3548
612 5708 3555
613 5719 3562
614 5730 3569
615 5741 3576
616 5752 3583
617 5763 3590
618 5774 3597
619 5785 3604
620 5796 3611
621 5807 3618
622 5818 3625
623 5829 3632
624 5840 3639
625 5851 3646
626 5862 3653
627 5873 3660
628 5884 3667
629 5895 3674
630 5906 3681
631 5917 3688
632 5928 3695
633 5939 3702
634 5950 3709
635 5961 3716
636 5972 3723
637 5983 3730
638 5994 3737
639 6005 3744
640 6016 3751
641 6027 3758
642 6038 3765
643 6049 3772
644 6060 3779
645 6071 3786
646 6082 3793
647 6093 3800
648 6104 3807
649 6115 3814
650 6126 3821
651 6137 3828
652 6148 3835
653 6159 3842
654 6170 3849
655 6181 3856
656 6192 3863
657 6203 3870
658 6214 3877
659 6225 3884
660 6236 3891
661 6247 3898
662 6258 3905
663 6269 3912
664 6280 3919
665 6291 3926
666 6302 3933
667 6313 3940
668 6324 3947
669 6335 3954
670 6346 3961
671 6357 3968
672 6368 3975
673 6379 3982
674 6390 3989
675 6401 3996
676 6412 4003
677 6423 4010
678 6434 4017
679 6445 4024
680 6456 4031
681 6467 4038
682 6478 4045
683 6489 4052
684 6500 4059
685 6511 4066
686 6522 4073
687 6533 4080
688 6544 4087
689 6555 4094
690 6566 4101
691 6577 4108
692 6588 4115
693 6599 4122
694 6610 4129
695 6621 4136
696 6632 4143
697 6643 4150
698 6654 4157
699 6665 4164
700 6676 4171
701 6687 4178
702 6698 4185
703 6709 4192
704 6720 4199
705 6731 4206
706 6742 4213
707 6753 4220
708 6764 4227
709 6775 4234
710 6786 4241
711 6797 4248
712 6808 4255
713 6819 4262
714 6830 4269
715 6841 4276
716 6852 4283
717 6863 4290
718 6874 4297
719 6885 4304
720 6896 4311
721 6907 4318
722 6918 4325
723 6929 4332
724 6940 4339
725 6951 4346
726 6962 4353
727 6973 4360
728 6984 4367
729 6995 4374
730 7006 4381
731 7017 4389
732 7028 4395
733 7039 4403
734 7050 4409
735 7061 4419
736 7072 4425
737 7083 4433
738 7094 4437
739 7105 4445
740 7116 4451
741 7127 4461
742 7138 4467
743 7149 4477
744 7160 4479
745 7171 4489
746 7182 4495
747 7193 4509
748 7204 4515
749 7215 4523
750 7226 4527
751 7237 4535
752 7248 4539
753 7259 4551
754 7270 4555
755 7281 4563
756 7292 4563
757 7303 4571
758 7314 4577
759 7325 4587
760 7336 4593
761 7347 4603
762 7358 4605
763 7369 4615
764 7380 4621
765 7391 4635
766 7402 4641
767 7413 4651
768 7424 4653
769 7435 4663
770 7446 4665
771 7457 4683
772 7468 4685
773 7479 4695
774 7490 4689
775 7501 4699
776 7512 4705
777 7523 4719
778 7534 4725
779 7545 4739
780 7556 4737
781 7567 4751
782 7578 4757
783 7589 4779
784 7600 4785
785 7611 4793
786 7622 4797
787 7633 4805
788 7644 4809
789 7655 4821
790 7666 4825
791 7677 4833
792 7688 4833
793 7699 4841
794 7710 4845
795 7721 4857
796 7732 4861
797 7743 4873
798 7754 4869
799 7765 4881
800 7776 4885
801 7787 4905
802 7798 4909
803 7809 4917
804 7820 4917
805 7831 4925
806 7842 4925
807 7853 4941
808 7864 4941
809 7875 4949
810 7886 4941
811 7897 4949
812 7908 4955
813 7919 4965
814 7930 4971
815 7941 4981
816 7952 4983
817 7963 4993
818 7974 4999
819 7985 5013
820 7996 5019
821 8007 5029
822 8018 5031
823 8029 5041
824 8040 5043
825 8051 5061
826 8062 5063
827 8073 5073
828 8084 5067
829 8095 5077
830 8106 5083
831 8117 5097
832 8128 5103
833 8139 5117
834 8150 5115
835 8161 5129
836 8172 5135
837 8183 5157
838 8194 5163
839 8205 5173
840 8216 5175
841 8227 5185
842 8238 5187
843 8249 5205
844 8260 5207
845 8271 5217
846 8282 5211
