n,s1,s2,s3,s4,s5,s6
8,8,8,8,8,1,1
16,16,16,16,16,1,1
32,32,32,32,32,1,1
64,64,64,64,64,1,1
128,128,128,128,128,1,1
256,256,256,256,256,1,1
512,512,512,512,512,1,1
1024,1024,1024,1024,1024,1,1
2048,2048,2048,2048,2048,1,1
4096,4096,4096,4096,4096,1,1
8192,8192,8192,8192,8192,1,1
16384,16384,16384,16384,16384,1,1
