n,s1,s2,s3,s4,s5,s6
8,1,8,1,8,1,8
16,1,16,1,16,1,16
32,1,32,1,32,1,32
64,1,64,1,64,1,64
128,1,128,1,128,1,128
256,1,256,1,256,1,256
512,1,512,1,512,1,512
1024,1,1024,1,1024,1,1024
2048,1,2048,1,2048,1,2048
4096,1,4096,1,4096,1,4096
8192,1,8192,1,8192,1,8192
16384,1,16384,1,16384,1,16384
